player_id,player_name,username,age,city,country,email,phone,game_title,genre,platform,device,game_mode,rank_tier,subscription_type,account_created_date,last_login_date,account_age_days,hours_per_week,total_hours_played,total_matches_played,total_wins,total_losses,win_rate_%,kd_ratio,avg_score_per_match,session_length_mins,achievements_unlocked,friends_count,total_spend_INR,num_in_app_purchases,purchase_type,payment_method,player_rating,toxicity_reports,guild_member,streams_content,churn_risk
PLR0002855,kavya chopra,N/A,27,Melbourne,  Australia,N/A,9312244184,Among Us,FPS,pc,Windows,Squad,Unknown,pro,May 2015,NULL,1594,28.1,224.8,453,52,401,11.5,4.6,1402.9,292,21,7,Rs.14816.04,NULL,In-App Purchase,wallet,3.5,22,False,NO,High
PLR0025665,Sneha Schmidt,sneha_schmidt,18,Kolkata,India,sneha.schmidt@gmail.com,9545891370,,Sports,PC,android,Duo ,Platinum,pro,15.10.2016,07 March 2020,1239,34.1,4705.8,1952,1051,NULL,53.8,4.3,4758.4,-158,15,26,1728.44,65,In-App Purchase,N/A,6.4,22,Yes,yes,low
PLR0000948,Z@r@ Dubois,zara_dubois_gamer,13,Brisbane,Australia,zara.dubois@outlook.com,9149829576,8 Ball Pool,Casual,none,WINDOWS,Team,NA,Elite,08/25/17,2021-10-29T00:00:00Z,1526,9.3,1804.2,1379,1072,307,77.7,N/A,1028.2,288,73,60,4163.41,18,N/A,Gift Card,3.8,13,true,yes,HIGH
PLR0027755,  Pooja Reddy  ,pooja_reddy_gamer,32,Ahmedabad,India,N/A,XXXXXXXXXX,Candy Crush,MOBA,pc,MacOS,,Master,Elite,2016-12-13T00:00:00Z,06 July 2021,1666,NULL,421.6,4813,519,,10.8,0.3,853.3,,999999,NULL,8953.46,10,DLC,CREDIT CARD,2.7,6,YES,NO,N/A
PLR0048046,James Mehta,,16,Berlin,Germany,james.mehta@yahoo.com,+91-9326708898,CS:GO,Horror,pc,None,,Gold ,free,2017/03/01,June 2019,822,27.7,4681.3,NULL,NULL,926,36.1,6.6,2869.8,24,132,26,9999999,58,Full Game,Credit Card,-1.4,5,no,Yes,low
PLR0042559,SNEHA NAIR,NULL,15,osaka,JAPAN,sneha.nair@gmail.com,9166528132,Genshin Impact,Horror,playstation,android,,N/A,free,28.07.2018,16 September 2023,1876,53.0,3286.0,2094,728,1366,34.8,3.8,125.8,50,102,442,12086.57,46,,Net Banking,3.0,28,true,true,HIGH
PLR0017000,Aditya Dubois,aditya_dubois999,26,Munich,Germany,aditya.dubois@outlook.com,9592812542,8 Ball Pool,Sports,mobile ,Mac,N/A,Grandmaster,free,November 2019,09 September 2020,289,23.1,1085.7,3374,1721,1653,51.0,N/A,1624.0,229,147,N/A,4914.58,14,unknown,UPI,2.2,16,Yes,Yes,medium
PLR0017478,Marie Garcia,marie_garcia123,18,Tokyo,Japan,marie.garciaoutlook.com,9004202107,Valorant,Strategy,,unknown,,bronze,Free,11-11-2016,26.10.2019,1079,50.7,4309.5 hrs,4475,NULL,720,83.9,4.7,3365.3,33,93,262,6048.33.00,38,dlc,wallet,3.9,9,yes,true,
PLR0011647,Harsh Verma,harsh_verma_pro,19,Bangalore,India,harsh.verma@gmail.com,9490912042,Pokemon GO,N/A,pc,android,Duo ,Platinum,Elite,31-01-2022,2023/08/08,554,54.4,816.0,2940,1957,983,66.6,6.4,N/A,110,3,464,11419.75,-4,FULL GAME,wallet,4.3,20,N,true,Low
PLR0027397,Simran Iyer,SIMRAN_IYER,21,Jaipur,India,simran.iyer@hotmail.com,9074971176,Minecraft,Strategy,pc,IOS,Duo ,Bronze,pro,17-07-2021,2023/03/06,,60.0,99999,445,201,244,45.2,0.6,214.8,NULL,-78,368,,56,DLC,wallet,3.5,24,NO,No,low
PLR0031748,Riya Malhotra,riya_malhotra,25,Hyderabad,India,riya.malhotra@@hotmail.com,9119601082,League of Legends,Simulation,MOBILE,Windows,Duo ,SILVER,Pro,08-07-2015,15 March 2019,999999,19.7,197.0,1732,584,1148,33.7,7.7,3735.3,135,95,99,57.04,77,Subscription,upi,4.4,16,yes,No,HIGH
PLR0043132,Riya Johnson,riya_johnson_gamer,35,Montreal,Canada,riya.johnson@yahoo.com,9079804341,Free Fire,NA,Mobile,Mac,Duo,Master,N/A,April 2019,19.11.2021,999999,1.5,103.5,-4751,228,NULL,4.8,6.1,1365.8,235,97,138,32.98,72,Subscription,UPI,4.2,-30,no,True,medium
PLR0000906,KENJI GARCIA,kenji_garcia_bg,25,Kolkata,India,kenji.garcia@gmail.com,9788131114,BGMI,Horror,PC ,Windows,Squad,Gold,Free ,09/12/19,06/28/20,290,42.4,7971.2,3808,2382,1426,-2.5,6.4,5006.9,999999,96,260,$7454.9,69,Unknown,Net Banking,4.2,13,yes,no,low
N/A,Ethan Iyer,ethan_iyer,22,San Francisco,usa,,9423778917,Valorant,None,Xbox,WINDOWS,SQUAD,Gold,free,22 February 2017,15 August 2022,2000,59.1,3841.5,622,,406,34.7,5.3,2050.5,110,111,215,N/A,64,Season Pass,upi,2.3,22,0,0,N/A
PLR0026171,Yuki Smith,yuki_smith_bg,31,Jaipur,India,N/A,,BGMI,FPS,mobile ,iOS,Team,Master,Free ,29.10.2019,13-08-2020,289,11.8,N/A,1680,215,1465,12.8,5.3,387.2,250,NULL,333,,3,,upi,N/A,999999,Y,Yes,
PLR0040673,Kavya Oliveira,kavya_oliveira,23,Tokyo,Japan,kavya.oliveira@gmail.com,9019747364,Apex Legends,Sports,Xbox,iOS,N/A,Platinum,Free ,17 May 2015,March 2020,1765,-4.2,NULL,2165,1053,1112,48.6,,2721.5,111,126,141,6506.41,59,Full Game,Debit Card,1.6,1,true,No,Medium
PLR0021572,SNEHA SINGH,  sneha_singh123,13,Bangalore,India,sneha.singh@yahoo.com,9475541930,Apex Legends,Sports,mobile ,android,Team,Master,free,May 2014,22-08-2019,,14.4,1785.6,3318,1567,1751,N/A,5.5,3057.1,61,11,243,4725.48,21,In-App Purchase,CREDIT CARD,3.8,2,0,Y,N/A
PLR0046038,Zara Brown,zara_brown_bg,20,Los Angeles,USA,zara.brown@hotmail.com,9595316262,PUBG PC,Simulation,PC,ios,,,pro,26-05-2015,,NULL,11.6,2227.2,4319,3137,1182,72.6,-2.4,1567.8,N/A,19,-351,14762.45,0,In-App Purchase,CREDIT CARD,4.2,18,Y,no,medium
PLR0008772,Tanvir Joshi,tanvir_joshi_noob,20,Houston,N/A,tanvir.joshi@outlook.com,9004453987,Clash of Clans,Sports,Xbox,android,squad,,free,26-10-2019,June 2020,225,25.2,4435.2,1356,970,386,71.5,5.5,843.2,261,54,47,7626.59,21,,Gift Card,3.3,18,True,true,medium
PLR0040314,Ananya Gupta,ananya_gupta,22,Mumbai,India,ananya.gupta@hotmail.com,9982752234,8 Ball Pool,Strategy,Playstation,WINDOWS,N/A,Unranked,pro,21 September 2016,N/A,974,45.0,3960.0,-617,523,94,84.8,3.3,2781.6,223,43,211,14615.05,999999,Full Game,CREDIT CARD,3.4,-21,0,1,low
PLR0039602,Harsh Martin,harsh_martin123,23,Rio de Janeiro,Brazil,harsh.martin@yahoo.com,+91-9737665885,Ludo King,Casual,mobile ,ios,solo,Unranked,pro,01-03-2021,21-08-2021,173,19.8,2296.8,-4210,3942,268,93.6,0.1,3783.2,300,-116,248,11229.15,,Full Game,wallet,1.6,27,1,no,HIGH
PLR0000887,Rohan Oliveira,  rohan_oliveira_ff,20 yrs,Vancouver,Canada,N/A,+91-9595587826,PUBG PC,Horror,Mobile,Mac,Team,Platinum,Free,05.08.2021,16-11-2021,103,26.8,3859.2,3963,2426,1537,61.2,7.3,3459.4,241,76,373,$5415.4,15,Subscription,CREDIT CARD,1.7,19,No,N,
PLR0017150,Nisha Schmidt,nisha_schmidt_gamer,20,Dubai,UAE,nisha.schmidt@outlook.com,9121541751,Clash of Clans,Battle Royale,Xbox,WINDOWS,,Unranked,PREMIUM,15-06-2018,NULL,746,NULL,78.3,4131,3382,749,81.9,0.6,2568.9,237,0,,6747.35,12,dlc,Debit Card,5.8,999999,1,True,low
PLR0031488,RAHUL SILVA,rahul_silvaxX,15,Rio de Janeiro,Brazil,rahul.silva@outlook.com,9604172923,Among Us,Battle Royale,Playstation,Android,solo,,PREMIUM,2022-06-09T00:00:00Z,2023/11/26,535,27.1,1029.8,3558,999999,720,79.8,6.4,1122.6,268,144,245,2571.79,4,Season Pass,upi,3.5,999999,True,Y,
PLR0003804,Pierre Das,pierre_das_ff,35,New York,N/A,pierre.das@outlook.com,9580737265,8 Ball Pool,Horror,PC ,WINDOWS,Duo,Diamond,premium,03-10-2017,09.05.2021,1314,99999,2319.9,2055,1385,670,-12.5,3.6,2441.2,-99,34,,$1349.93,3,-,upi,2.3,12,True,True,N/A
PLR0048288,Ava Brown,ava_brown_bg,27,Paris,France,ava.brownoutlook.com,9212178645,unknown,Simulation,MOBILE,Mac,Team,Master,N/A,20-03-2021,27-03-2023,737,34.5,2035.5,4045,N/A,-3554,12.1,3.0,1735.0,40,-148,79,14762.65,39,in-app purchase,Gift Card,1.7,16,True,True,medium
PLR0018318,Nisha Shah,nisha_shah_noob,24,Pune,India,nisha.shah@gmail.com,9699875394,Apex Legends,FPS,Unknown,WINDOWS,SQUAD,platinum,None,04.09.2018,2023-11-02T00:00:00Z,999999,99999,4457.4,169,52,117,30.8,9.5,-19.5,23,7,164,4104.53,36,Season Pass,Debit Card,2.9,-1,Yes,Yes,none
PLR0036242,Hans Kumar,hans_kumar_ff,33,rio de janeiro,Brazil,hans.kumar@gmail.com,9605702606,Valorant,Simulation,Mobile,MacOS,Duo,Gold ,premium,NULL,27-08-2020,-1063,36.8,99999,3032,870,2162,28.7,4.6,4902.9,162,128,493,4835.76,999999,dlc,wallet,2.8,8,yes,false,
PLR0012073,Julia Reddy,julia_reddy_yt,33 yrs,Tokyo,JAPAN,julia.reddy@outlook.com,9898260377,FIFA 24,Casual,PC,ios,Duo,platinum,premium,24-03-2019,October 2019,221,52.7,1212.1,-1974,1877,-97,95.1,1.9,1429.5,97,101,25,7352.26,NULL,None,wallet,N/A,4,True,False,HIGH
PLR0036347,Shivam Shah,shivam_shah999,23,Birmingham,UK,shivam.shah@gmail.com,9789852786,8 Ball Pool,Battle Royale,PC,ios,Solo,none,free,2017/03/25,2021/12/14,999999,-24.5,4410.0,1442,119,1323,8.3,6.4,4118.1,174,,77,,71,DLC,,N/A,4,False,Yes,Medium
PLR0043716,Meera Das,meera_das999,18,Toronto,Canada,meera.das@gmail.com,9946974598,Pokemon GO,RPG,MOBILE,IOS,N/A,Bronze,free,NULL,10/21/22,1885,49.9,7934.1,1380,731,649,53.0,3.5,4698.7,96,11,410,2869.96,26,Full Game,upi,2.0,11,No,0,low
