,transaction_id,customer_id,customer_name,age,age_group,city,email,phone,manga_title,volume_no,genre,format,platform,payment_method,unit_price,quantity,total_amount,customer_rating,purchase_date,delivery_days,is_returned,membership_tier,discount_percent,coupon_used
0,4784,CUST8189,Simran Das,,Young Adult (18-24),Kolkata,simran.das@gmail.com,Unknown,Dr. Stone,23.0,Thriller,Paperback,Amazon,Unknown,349.0,1.0,349.0,4.4,08-06-22,6.0,No,Bronze,25.0,No
1,28779,CUST6564,Nikhil Reddy,13.0,Young Adult (18-24),Mumbai,,9025371511,One Punch Man,3.0,Shonen,Box Set,Amazon,Unknown,299.0,4.0,1196.0,2.5,19-02-20,8.0,Yes,Unknown,0.0,Yes
2,37597,CUST2413,Shreya Chopra,,Unknown,Pune,shreya.chopra@gmail.com,9779267699,Demon Slayer,17.0,Fantasy,Box Set,Mangaplus Shop,Cash,1299.0,1.0,1299.0,4.1,06-07-21,7.0,Yes,Unknown,0.0,Unknown
3,44058,CUST8973,Arjun Joshi,27.0,Young Adult (18-24),Chennai,,9966018593,Death Note,14.0,Action,Digital,Unknown,Cash,799.0,2.0,1598.0,4.9,27-09-21,6.0,Yes,Silver,20.0,Yes
4,49115,CUST4060,Pooja Joshi,150.0,Young Adult (18-24),Bangalore,pooja.joshi@gmail.com,Unknown,The Promised Neverland,16.0,Seinen,Hardcover,Flipkart,Debit Card,349.0,5.0,1745.0,4.7,24-11-24,4.0,No,Unknown,5.0,Unknown
5,10408,CUST4547,Siddharth Das,25.0,Young Adult (18-24),Mumbai,siddharth.das@gmail.com,9685329623,One Punch Man,35.0,Shonen,Paperback,Amazon,Upi,1499.0,3.0,4497.0,4.2,03-03-22,6.0,No,Bronze,15.0,Yes
6,2620,CUST2407,Priya Das,150.0,Young Adult (18-24),Hyderabad,priya.das@gmail.com,9066815814,One Punch Man,38.0,Slice Of Life,Digital,Book Depository,Net Banking,199.0,3.0,597.0,3.6,01-08-22,6.0,No,Platinum,0.0,Unknown
7,3378,CUST5476,Zara Chopra,17.0,Young Adult (18-24),Lucknow,zara.chopra@gmail.com,9903006244,Black Clover,1.0,Action,Hardcover,Crunchyroll Store,Debit Card,199.0,1.0,199.0,3.0,12-05-22,1.0,Unknown,Unknown,20.0,Yes
8,13924,CUST5131,Sneha Singh,23.0,Adult (25-30),Jaipur,sneha.singh@gmail.com,9958283857,Mob Psycho 100,10.0,Horror,Box Set,Crunchyroll Store,Upi,349.0,3.0,1047.0,3.8,15-01-24,6.0,No,Gold,0.0,Unknown
9,29946,CUST1117,Riya Iyer,24.0,Young Adult (18-24),Bangalore,,9838348029,Chainsaw Man,2.0,Shonen,Digital,Mangaplus Shop,Upi,499.0,5.0,2495.0,2.7,18-08-20,1.0,No,Bronze,20.0,No
10,7019,CUST6777,Priya Sharma,23.0,Unknown,Jaipur,priya.sharma@gmail.com,9672393684,Hunter X Hunter,29.0,Shojo,Paperback,Amazon,Unknown,199.0,3.0,597.0,3.9,21-10-22,2.0,Yes,Bronze,25.0,Unknown
11,49769,CUST6096,Rohan Verma,24.0,Unknown,Lucknow,rohan.verma@gmail.com,9460116884,Attack On Titan,22.0,Slice Of Life,Paperback,Flipkart,Credit Card,799.0,1.0,799.0,3.1,01-08-24,1.0,Yes,Bronze,25.0,Unknown
12,37817,CUST5172,Simran Kumar,14.0,Young Adult (18-24),Bangalore,simran.kumar@gmail.com,9653138725,Attack On Titan,12.0,Action,Box Set,Viz Media,Upi,199.0,2.0,398.0,9.18,01-01-24,9.0,Unknown,Platinum,20.0,Unknown
13,8855,CUST9205,Sneha Shah,22.0,Adult (25-30),Pune,sneha.shah@gmail.com,9049190476,Sword Art Online,39.0,Fantasy,Limited Edition,Viz Media,Wallet,199.0,3.0,597.0,3.0,06-04-23,2.0,Yes,Silver,15.0,No
14,39383,CUST8577,Harsh Verma,16.0,Teen (13-17),Chennai,harsh.verma@gmail.com,9139157380,One Piece,36.0,Thriller,Hardcover,Unknown,Net Banking,199.0,3.0,597.0,3.1,22-05-23,6.0,No,Gold,5.0,Unknown
15,4112,CUST6737,Kavya Singh,17.0,Adult (25-30),Lucknow,kavya.singh@gmail,Unknown,Demon Slayer,20.0,Romance,Limited Edition,Viz Media,Unknown,199.0,3.0,597.0,5.0,08-12-20,6.0,No,Silver,0.0,No
16,4373,CUST4634,Meera Nair,30.0,Teen (13-17),Hyderabad,meera.nairgmail.com,9061928889,One Punch Man,6.0,Seinen,Limited Edition,Viz Media,Credit Card,799.0,3.0,2397.0,4.1,16-01-22,10.0,Yes,Platinum,10.0,Unknown
17,25759,CUST2485,Aditya Iyer,23.0,Young Adult (18-24),Lucknow,aditya.iyer@gmail.com,9128174403,Mob Psycho 100,13.0,Fantasy,Unknown,Book Depository,Unknown,199.0,3.0,597.0,2.9,01-03-21,5.0,No,Silver,10.0,No
18,43584,CUST9452,Priya Gupta,14.0,Adult (25-30),Delhi,priya.gupta@gmail.com,9351682668,Death Note,35.0,Shojo,Hardcover,Unknown,Credit Card,999.0,4.0,3996.0,2.9,18-06-20,6.0,Yes,Platinum,20.0,Yes
19,48701,CUST6753,Sneha Malhotra,18.0,Adult (25-30),Ahmedabad,sneha.malhotragmail.com,9651835622,One Piece,1.0,Thriller,Box Set,Crunchyroll Store,Debit Card,349.0,5.0,1745.0,4.2,09-01-22,6.0,No,Unknown,10.0,Unknown
20,10471,CUST1687,Tanvir Verma,27.0,Teen (13-17),Chennai,,9602669699,Naruto,12.0,Seinen,Paperback,Local Store,Debit Card,1499.0,3.0,4497.0,3.8,03-04-22,6.0,No,Silver,0.0,Unknown
21,23940,CUST4871,Nisha Reddy,18.0,Young Adult (18-24),Mumbai,nisha.reddy@gmail.com,9443706513,Naruto,5.0,Slice Of Life,Unknown,Amazon,Cash,599.0,3.0,1797.0,3.7,03-03-22,4.0,No,Platinum,10.0,No
22,31761,CUST4233,Tanvir Verma,22.0,Young Adult (18-24),Pune,tanvir.verma@gmail,9779534380,Naruto,2.0,Shojo,Unknown,Unknown,Cash,599.0,5.0,2995.0,4.0,01-01-23,5.0,Yes,Unknown,20.0,Yes
23,33252,CUST9361,Harsh Gupta,14.0,Young Adult (18-24),Ahmedabad,harsh.gupta@gmail.com,9590661835,Mob Psycho 100,18.0,Horror,Hardcover,Viz Media,Unknown,1299.0,4.0,5196.0,3.3,11-01-23,10.0,No,Silver,15.0,Unknown
24,10704,CUST3494,Pooja Singh,19.0,Adult (25-30),Chennai,pooja.singh@gmail.com,9262819979,My Hero Academia,16.0,Slice Of Life,Box Set,Local Store,Debit Card,599.0,3.0,1797.0,3.9,27-09-24,6.0,Yes,Gold,0.0,No
25,22685,CUST9812,Arjun Singh,17.0,Adult (25-30),Jaipur,arjun.singh@gmail.com,9827191668,Tokyo Ghoul,26.0,Fantasy,Hardcover,Unknown,Wallet,499.0,3.0,1497.0,4.0,03-06-22,5.0,Yes,Gold,25.0,Yes
26,31240,CUST8775,Rohan Nair,18.0,Unknown,Kolkata,rohan.nair@gmail.com,9225488219,Sword Art Online,22.0,Thriller,Limited Edition,Local Store,Upi,1299.0,4.0,5196.0,3.9,09-04-20,6.0,No,Silver,0.0,Unknown
27,47356,CUST8178,Arjun Chopra,14.0,Adult (25-30),Hyderabad,arjun.chopra@gmail.com,Unknown,Death Note,6.0,Fantasy,Digital,Local Store,Credit Card,1299.0,3.0,3897.0,3.8,02-07-23,6.0,Yes,Unknown,15.0,Unknown
28,49339,CUST3950,Karan Iyer,15.0,Teen (13-17),Chennai,karan.iyer@gmail.com,9338071385,Mob Psycho 100,40.0,Shonnen,Hardcover,Flipkart,Wallet,1499.0,1.0,1499.0,4.9,,6.0,No,Silver,0.0,Yes
29,5452,CUST9824,Rohan Nair,21.0,Young Adult (18-24),Hyderabad,rohan.nair@gmail.com,9748304573,Black Clover,,Isekai,Limited Edition,Amazon,Cash,599.0,4.0,2396.0,3.8,,4.0,No,Silver,25.0,Unknown
30,20908,CUST2915,Divya Nair,19.0,Adult (25-30),Mumbai,divya.nair@gmail.com,Unknown,Haikyu,30.0,Fantasy,Limited Edition,Mangaplus Shop,Wallet,799.0,1.0,799.0,3.5,01-06-20,7.0,No,Bronze,5.0,Yes
31,29583,CUST1997,Kavya Malhotra,29.0,Adult (25-30),Lucknow,kavya.malhotra@gmail.com,9875732421,Dragon Ball Z,6.0,Shojo,Box Set,Local Store,Debit Card,1299.0,5.0,6495.0,3.8,13-06-22,2.0,No,Silver,0.0,Unknown
32,2853,CUST4357,Arjun Joshi,,Teen (13-17),Lucknow,arjun.joshi@gmail.com,9224458472,Mob Psycho 100,,Seinen,Paperback,Crunchyroll Store,Net Banking,1299.0,1.0,1299.0,9.85,05-07-24,6.0,No,Bronze,15.0,Unknown
33,5080,CUST5264,Ananya Sharma,-27.0,Young Adult (18-24),Jaipur,ananya.sharma@gmail.com,9572448991,Jojo's Bizarre Adventure,6.0,Slice Of Life,Unknown,Book Depository,Credit Card,999.0,4.0,3996.0,4.1,12-10-21,6.0,Yes,Gold,5.0,Yes
34,15504,,Aditya Chopra,26.0,Teen (13-17),Bangalore,aditya.chopra@gmail.com,9652451887,Dr. Stone,8.0,Thriller,Limited Edition,Mangaplus Shop,Cash,299.0,3.0,897.0,5.0,,6.0,No,Unknown,20.0,Unknown
35,40898,CUST5101,Dev Kumar,14.0,Young Adult (18-24),Kolkata,dev.kumar@gmail.com,9293038377,Demon Slayer,17.0,Thriller,Paperback,Local Store,Cash,599.0,2.0,1198.0,2.6,01-09-23,5.0,Yes,Silver,25.0,Unknown
36,32540,CUST5239,Divya Nair,16.0,Adult (25-30),Ahmedabad,divya.nairgmail.com,9700139199,Sword Art Online,2.0,Seinen,Paperback,Crunchyroll Store,Unknown,799.0,2.0,1598.0,3.8,14-03-22,6.0,Yes,Gold,0.0,No
37,30445,CUST9310,Divya Singh,16.0,Young Adult (18-24),Kolkata,divya.singh@gmail.com,9588318577,Death Note,12.0,Romance,Digital,Crunchyroll Store,Upi,199.0,4.0,796.0,3.8,01-07-20,6.0,No,Platinum,25.0,Unknown
38,26050,CUST2267,Harsh Mehta,29.0,Teen (13-17),Chennai,harsh.mehta@gmail.com,XXXXXXXXXX,Vinland Saga,21.0,Action,Hardcover,Crunchyroll Store,Credit Card,349.0,2.0,698.0,3.0,20-06-24,9.0,Yes,Silver,10.0,No
39,22420,CUST1883,Nisha Patel,27.0,Teen (13-17),Kolkata,nisha.patel@gmail.com,9686399718,Jujutsu Kaisen,20.0,Slice Of Life,Box Set,Local Store,Wallet,299.0,2.0,598.0,4.6,01-11-22,6.0,Yes,Unknown,25.0,Yes
40,37286,CUST8072,Harsh Gupta,19.0,Teen (13-17),Pune,harsh.gupta@gmail.com,9111562272,Sword Art Online,35.0,Fantasy,Paperback,Mangaplus Shop,Upi,799.0,1.0,799.0,4.4,05-03-20,6.0,Yes,Silver,0.0,Unknown
41,18956,CUST9123,Dev Singh,19.0,Unknown,Hyderabad,dev.singh@gmail.com,9960395974,Hunter X Hunter,30.0,Seinen,Box Set,Book Depository,Net Banking,1299.0,3.0,3897.0,4.6,01-08-24,6.0,No,Silver,5.0,Unknown
42,42757,CUST8382,Kavya Shah,21.0,Teen (13-17),Chennai,kavya.shah@gmail.com,9258065067,Dr. Stone,28.0,Thriller,Hardcover,Local Store,Wallet,799.0,1.0,799.0,5.0,03-06-20,6.0,No,Silver,0.0,Yes
43,19810,CUST9451,Shreya Iyer,24.0,Adult (25-30),Kolkata,shreya.iyer@gmail.com,9600468535,Berserk,39.0,Seinen,Hardcover,Unknown,Debit Card,999.0,2.0,1998.0,4.7,01-10-20,6.0,Yes,Platinum,25.0,Unknown
44,7420,CUST7249,Kavya Gupta,18.0,Teen (13-17),Bangalore,kavya.gupta@gmail.com,9292429990,Dragon Ball Z,25.0,Slice Of Life,Paperback,Book Depository,Debit Card,1299.0,1.0,1299.0,3.7,25-07-23,6.0,No,Unknown,5.0,Yes
45,17732,CUST5710,Amit Sharma,,Teen (13-17),Kolkata,amit.sharma@gmail.com,9319204415,Haikyu,9.0,Thriller,Limited Edition,Book Depository,Credit Card,599.0,2.0,1198.0,3.5,01-07-23,10.0,No,Unknown,25.0,Yes
46,25967,CUST4950,Divya Mehta,21.0,Teen (13-17),Kolkata,divya.mehta@gmail.com,9773664110,Naruto,13.0,Seinen,Paperback,Unknown,Net Banking,299.0,3.0,897.0,4.1,26-04-24,2.0,No,Silver,25.0,Unknown
47,10435,CUST1572,Arjun Patel,17.0,Young Adult (18-24),Lucknow,arjun.patel@gmail.com,9987085463,Dragon Ball Z,17.0,Horror,Limited Edition,Flipkart,Upi,599.0,4.0,2396.0,4.5,,8.0,Yes,Unknown,10.0,No
48,35400,CUST6733,Arjun Shah,27.0,Adult (25-30),Pune,arjun.shah@gmail.com,9607365867,Death Note,,Isekai,Hardcover,Local Store,Unknown,799.0,1.0,799.0,3.5,20-03-24,6.0,Yes,Bronze,0.0,No
49,2333,CUST5276,Karan Joshi,18.0,Adult (25-30),Mumbai,karan.joshi@gmail.com,Unknown,Naruto,30.0,Horror,Digital,Viz Media,Unknown,999.0,4.0,3996.0,2.9,02-04-22,7.0,Yes,Unknown,10.0,Unknown
50,1558,CUST5015,Pooja Reddy,-22.0,Adult (25-30),Kolkata,pooja.reddy@gmail.com,Unknown,Jujutsu Kaisen,30.0,Thriller,Paperback,Amazon,Wallet,299.0,4.0,1196.0,4.0,04-06-23,10.0,Unknown,Bronze,25.0,Yes
51,23779,CUST4490,Nisha Iyer,17.0,Unknown,Hyderabad,nisha.iyer@gmail.com,9522020438,Berserk,,Slice Of Life,Digital,Local Store,Upi,499.0,5.0,2495.0,4.1,13-12-20,1.0,Yes,Silver,15.0,Yes
52,42188,CUST5457,Nisha Verma,14.0,Young Adult (18-24),Chennai,nisha.verma@gmail.com,9997211638,Jojo's Bizarre Adventure,7.0,Fantasy,Limited Edition,Book Depository,Wallet,499.0,5.0,2495.0,2.6,08-09-23,2.0,Unknown,Unknown,0.0,No
53,12740,CUST6963,Meera Singh,22.0,Young Adult (18-24),Jaipur,meera.singh@gmail.com,Unknown,Spy X Family,40.0,Isekai,Limited Edition,Book Depository,Debit Card,499.0,3.0,1497.0,3.6,20-09-23,8.0,Yes,Unknown,20.0,Unknown
54,33972,CUST8674,Tanvir Chopra,15.0,Adult (25-30),Chennai,tanvir.chopra@gmail.com,9626904476,Dr. Stone,9.0,Seinen,Digital,Mangaplus Shop,Upi,1299.0,3.0,3897.0,3.8,18-09-23,3.0,No,Bronze,0.0,Unknown
55,1658,CUST2083,Amit Sharma,19.0,Young Adult (18-24),Delhi,amit.sharma@gmail.com,9546929626,Vinland Saga,35.0,Shojo,Box Set,Unknown,Debit Card,599.0,2.0,1198.0,3.4,08-02-24,6.0,Yes,Bronze,5.0,Yes
56,9527,CUST6621,Sneha Joshi,-14.0,Young Adult (18-24),Mumbai,sneha.joshi@gmail.com,Unknown,Berserk,10.0,Thriller,Unknown,Viz Media,Unknown,1499.0,2.0,2998.0,7.17,01-01-23,7.0,Yes,Bronze,20.0,Unknown
57,22002,CUST1911,Rahul Iyer,24.0,Young Adult (18-24),Hyderabad,,9426525369,Spy X Family,14.0,Isekai,Hardcover,Flipkart,Unknown,199.0,3.0,597.0,4.0,12-04-21,6.0,Yes,Bronze,10.0,Unknown
58,33876,CUST1330,Rahul Shah,26.0,Adult (25-30),Hyderabad,rahul.shahgmail.com,9971893319,Death Note,26.0,Fantasy,Box Set,Viz Media,Upi,199.0,3.0,597.0,3.2,27-05-22,6.0,Yes,Bronze,15.0,No
59,36045,CUST7198,Divya Sharma,25.0,Young Adult (18-24),Chennai,divya.sharma@gmail.com,9250017616,Jojo's Bizarre Adventure,11.0,Action,Digital,Crunchyroll Store,Credit Card,349.0,2.0,698.0,4.7,23-12-20,6.0,No,Silver,15.0,Unknown
60,44156,CUST9603,Simran Patel,15.0,Teen (13-17),Jaipur,,9574209883,Vinland Saga,36.0,Horror,Paperback,Flipkart,Upi,1299.0,3.0,3897.0,3.6,22-06-23,10.0,Yes,Bronze,20.0,Unknown
61,6411,CUST1127,Nisha Chopra,13.0,Young Adult (18-24),Bangalore,,9955821454,Chainsaw Man,32.0,Action,Hardcover,Viz Media,Net Banking,599.0,2.0,1198.0,3.5,08-11-20,9.0,Yes,Bronze,0.0,Yes
